Teff_Curtis20,Prot,flag_benchmark_period
5552.5655084595455,31.8,True
4746.611238460258,30.4,True
4776.918231525867,30.7,True
5844.114051468629,25.1,True
4827.875930216893,34.5,True
5496.016175974402,28.8,True
4814.9322043073935,30.3,True
4856.978559489266,30.2,True
5430.727736732028,28.4,True
5823.126368151514,26.9,True
5463.220653174261,26.9,True
6179.084945687258,18.9,True
5749.652790317854,31.2,True
5354.623086698957,30.5,True
5872.990315443042,24.4,True
5520.34956956872,31.4,True
5557.868810704846,24.9,True
5734.162082337583,26.9,True
5023.075728948177,31.1,True
3698.5863003820923,29.4,True
3521.947121129924,42.1,True
3673.139421274638,130.0,False
3719.0398629378396,30.2,True
4210.055775503874,30.4,True
3734.067914556508,27.3,True
4245.377500888023,27.6,True
3519.5795347861567,41.8,True
3406.2809845657903,44.9,True
3562.9110298907253,47.8,True
3960.3575378868536,26.9,True
3825.5941101468343,28.4,True
3484.9756480801298,44.1,True
3432.858342709078,49.9,True
3601.297495075465,32.0,True
4147.599751901868,26.5,True
4112.082225015312,25.7,True
3726.522826490411,31.4,True
3543.2164533864852,46.5,True
4273.499390906546,27.5,True
4031.6792782279244,25.9,True
3594.356989781656,33.9,True
4206.260302259865,23.8,True
4146.129697058309,26.3,True
4176.306450483032,25.2,True
3544.462445423327,43.2,True
3624.82410681669,31.5,True
3671.5769765309306,31.6,True
4191.311090353968,27.6,True
3584.7879405836793,38.5,True
3790.0653953742367,31.3,True
3588.185695252614,37.4,True
3565.512306035147,42.9,True
4113.295935937292,25.4,True
3626.280588523543,36.1,True
3694.5552635754357,33.6,True
4269.367614349047,25.7,True
3462.6296482419566,34.1,True
4073.6587510746194,26.0,True
3764.4195012371783,30.3,True
4193.067424257583,28.5,True
4031.993133769127,26.8,True
3797.4632216521095,31.4,True
3628.471844188316,57.6,True
3757.7576422851344,31.3,True
3758.7930330459785,28.9,True
4085.5256519478,24.1,True
4110.5389868077755,28.4,True
3873.928071970502,25.6,True
3939.4651547884223,28.9,True
4009.1379584459955,24.8,True
3987.2104135857444,23.8,True
4118.715042483998,26.1,True
3709.979525774579,34.1,True
3640.2904832228814,34.8,True
3495.4629989620444,38.3,True
3580.739582610666,35.4,True
3499.3909980271856,49.3,True
3545.711802555408,35.0,True
3541.973818575061,37.2,True
3979.08802956412,25.1,True
4080.875639356621,25.4,True
3597.1226409898445,30.8,True
3552.0093254940875,35.9,True
4857.947043265833,32.4,True
4031.8257364772708,23.5,True
4879.595845314723,32.5,True
5445.582313425744,29.1,True
5872.86418052753,24.3,True
4321.625467690077,27.4,True
6170.544988555103,18.1,True
4589.691367280457,34.7,True
4031.8257364772708,23.1,True
3672.7797640675635,29.5,True
3620.143512936462,37.0,True
3844.4267088168926,29.1,True
4295.7218359374865,27.2,True
5934.470187807438,22.9,True
4151.497491945945,27.6,True
5090.630496286965,30.2,True
5475.026054496907,7.37,False
4589.691367280457,31.1,True
4270.417897475142,26.5,True
4556.183448503491,29.1,True
5416.401040947878,29.0,True
5872.86418052753,23.4,True
5141.514443302411,30.8,True
4021.397939483937,29.5,True
4063.5268333744607,24.6,True
5387.496103649231,26.1,True
4375.412693852213,27.2,True
4162.893148044471,9.72,False
5504.717143711692,27.6,True
5017.01802825505,32.1,True
4074.2391386456893,26.2,True
3910.897143374299,27.6,True
5687.040614061988,26.8,True
5141.514443302411,31.7,True
4270.417897475142,22.8,True
3425.7864084568428,1.84,False
4348.173489692259,26.3,True
4117.873174148671,26.5,True
5065.729611877354,30.7,True
4879.595845314723,30.2,True
4245.671242212679,24.6,True
4074.2391386456893,24.9,True
4209.50945038459,24.1,True
4432.1609135359595,27.9,True
5141.514443302411,32.3,True
5534.639157458491,28.7,True
4923.960075238049,31.6,True
