Teff,Prot
6042.696,19.424
5973.702,18.600
5709.905,25.048
5685.848,27.263
5680.038,25.523
5594.872,31.514
5481.421,27.287
5397.609,25.329
5361.692,53.606
5358.334,28.995
5361.540,49.439
5341.192,31.704
5326.303,28.656
5259.881,30.808
5259.753,27.291
4974.198,31.434
4848.555,30.606
4801.910,34.763
4748.667,30.593
4700.782,30.747
4072.625,28.099
4062.709,26.337
4038.248,31.002
4033.086,24.490
4029.958,29.035
4007.241,27.110
3993.103,26.038
3987.789,29.034
3980.475,26.801
3960.682,24.716
3961.713,26.057
3930.192,26.662
3915.413,24.587
3900.131,25.770
3883.024,29.452
3876.899,27.492
3845.965,26.295
3801.729,28.980
3746.317,30.908
3740.174,29.534
3727.800,27.909
3658.090,31.358
3663.991,34.182
3679.203,30.752
3668.830,32.131
3612.333,35.852
3608.493,34.231
3597.109,37.927
3617.605,32.016
3582.237,36.351
3551.895,35.527
3566.692,38.788
3575.939,37.660
3510.176,43.149
3499.090,45.223
3488.073,44.410
3499.261,42.168
3472.337,46.799
3451.300,49.569
3447.753,48.057
3469.960,43.479
3428.401,57.741
3435.722,50.172
3906.045,25.339
4010.752,25.828
4002.070,26.973
3945.378,27.383
4019.564,28.241
4045.732,28.118
3661.935,29.884
3631.501,32.625
3718.718,31.969
3744.890,31.968
3618.486,34.589
3592.314,34.589
3601.064,35.325
3548.765,36.553
3561.934,38.843
3531.532,42.484
