dr3_source_id,epic_id,period,period_err,G,(G-RP)0,(BP-RP)0,(B-V)0,(V-K)0,HPS
598903678707639296,211398541,32.4,1.3,15.93,0.65,1.16,0.94,2.27,
604896498115959296,,23.5,1.5,17.50,0.88,1.73,1.43,3.27,
604896635554924672,211397512,32.5,1.4,15.87,0.65,1.15,0.96,2.26,
604897558972113024,211400106,29.1,2.6,14.75,0.55,0.93,0.69,1.86,
604897833850019328,211400500,24.3,1.6,14.37,0.48,0.79,0.58,1.50,
604898490980772352,,27.4,2.1,16.61,0.79,1.48,1.20,2.93,
604899831010539904,,18.1,0.4,13.29,0.42,0.69,0.42,1.42,x
604900071528704128,,34.7,2.5,16.18,0.73,1.30,1.04,2.61,
604900651348634240,,23.1,2.1,17.60,0.88,1.73,1.38,3.56,
604903331408222208,,29.5,1.6,18.46,1.02,2.12,1.50,3.84,
604903438783070208,,37.0,3.0,18.64,1.02,2.19,1.61,4.17,
604906840397139584,,29.1,1.1,17.76,0.95,1.92,1.47,3.80,x
604907046555568896,,27.2,1.4,16.84,0.79,1.50,1.27,2.93,
604908004332577152,211400002,22.9,2.2,14.31,0.47,0.77,0.55,1.52,
604909206923484160,,27.6,1.1,17.23,0.83,1.62,1.30,3.31,x
604909756679296640,,30.2,2.2,15.65,0.61,1.06,0.90,2.17,
604911204083987584,,7.37,0.14,15.08,0.55,0.92,0.78,1.89,
604913540546033024,,31.1,1.5,16.31,0.70,1.30,1.05,2.45,
604913952863073920,,26.5,2.2,16.82,0.80,1.52,1.24,3.05,
604914880575997056,,29.1,1.8,16.37,0.72,1.32,1.08,2.60,
604915773929008384,,29.0,0.5,15.16,0.55,0.94,0.77,1.84,
604916117526551680,211405832,23.4,1.5,14.42,0.48,0.79,0.55,1.62,
604917148318674816,,30.8,2.7,15.49,0.60,1.04,0.95,1.98,
604919587860083328,,29.5,2.6,17.42,0.88,1.74,1.39,3.34,
604920549932807296,,24.6,1.4,17.33,0.87,1.70,nan,nan,
604920549932809344,,26.1,1.6,15.16,0.56,0.95,0.81,1.83,
604922130480588544,,27.2,2.0,16.73,0.77,1.44,1.21,2.89,
604922229264424448,,9.72,0.25,17.07,0.84,1.61,1.27,3.19,
604922817675316096,,27.6,3.2,14.97,0.54,0.91,0.77,1.71,
604923333071376512,,32.1,2.5,15.66,0.62,1.09,0.94,2.22,
604923848467470976,,26.2,2.3,17.37,0.87,1.69,1.40,3.44,
604930681760054656,,27.6,2.3,17.73,0.92,1.85,nan,nan,
604943674036665472,211418998,26.8,2.6,14.60,0.51,0.85,0.49,1.82,
604944120713062784,,31.7,2.7,15.47,0.60,1.04,0.83,2.15,
604963362166649856,,22.8,1.4,16.78,0.80,1.52,1.14,3.07,
604969061592133376,,1.84,0.01,19.57,1.11,2.52,nan,nan,
604969237681908480,,26.3,2.0,16.78,0.78,1.46,1.13,2.96,
604969267746267520,,26.5,1.2,17.24,0.85,1.65,1.22,3.34,
604969267746269696,,30.7,2.2,15.56,0.61,1.07,0.89,2.13,
604969306401373824,,30.2,1.1,15.87,0.65,1.15,0.96,2.33,
604969306401373952,,24.6,1.7,16.93,0.81,1.54,1.26,3.08,
604969336465748352,,24.9,1.7,17.28,0.87,1.69,1.43,3.36,
604970131035099008,,24.1,2.3,16.98,0.81,1.57,1.18,3.12,
604971466769552128,,27.9,2.0,16.51,0.75,1.40,1.06,2.94,
604972467498966400,,32.3,1.5,15.53,0.60,1.04,0.97,1.92,
604973979325779328,,28.7,1.1,14.88,0.53,0.90,0.71,1.76,x
604974151124482944,,31.6,2.9,15.81,0.64,1.13,0.88,2.23,
